Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
20,GBFS,h1,3,57,0.240599155
20,GBFS,h2,3,57,0.238090992
20,GBFS,h3,3,57,0.238080978
20,GBFS,h4,3,57,0.285147905
20,GBFS,h5,3,82,0.65093708
20,A/A*,h1,3,50,0.556416988
20,A/A*,h2,3,43,0.333411217
20,A/A*,h3,3,43,0.269074917
20,A/A*,h4,3,43,0.326641798
20,A/A*,h5,3,31,0.682432175
21,UCS,NA,NA,10840,636.143518
21,GBFS,h1,NA,140691,484.8476219
21,GBFS,h2,NA,140691,522.2693598
21,GBFS,h3,NA,140691,503.2877131
21,GBFS,h4,NA,140691,603.3046651
21,GBFS,h5,NA,140691,598.8219399
21,A/A*,h1,NA,10840,627.7534359
21,A/A*,h2,NA,10840,632.8675339
21,A/A*,h3,NA,10840,559.5312622
21,A/A*,h4,NA,10840,695.7484961
21,A/A*,h5,NA,10840,729.6282661
22,UCS,NA,9,1658,72.47505474
22,GBFS,h1,9,3163,9.164796829
22,GBFS,h2,11,1482,4.620642185
22,GBFS,h3,9,3163,9.330673933
22,GBFS,h4,10,2507,8.555604935
22,GBFS,h5,11,3152,12.13433909
22,A/A*,h1,9,1042,34.98171806
22,A/A*,h2,9,951,29.11638689
22,A/A*,h3,9,504,7.541474819
22,A/A*,h4,9,468,9.046984911
22,A/A*,h5,11,1054,43.45447874
23,UCS,NA,1,6,0.035297155
23,GBFS,h1,1,0,0.036056757
23,GBFS,h2,1,0,0.034762144
23,GBFS,h3,1,0,0.036184072
23,GBFS,h4,1,0,0.042316198
23,GBFS,h5,1,0,0.042611122
23,A/A*,h1,1,6,0.035198927
23,A/A*,h2,1,6,0.034760952
23,A/A*,h3,1,6,0.035261869
23,A/A*,h4,1,6,0.040847778
23,A/A*,h5,1,6,0.040880919
24,UCS,NA,NA,436,27.269274
24,GBFS,h1,NA,3341,13.79427576
24,GBFS,h2,NA,3341,13.79770684
24,GBFS,h3,NA,3341,13.62018514
24,GBFS,h4,NA,3341,16.27511597
24,GBFS,h5,NA,3341,16.45714998
24,A/A*,h1,NA,436,26.06965303
24,A/A*,h2,NA,436,26.26294088
24,A/A*,h3,NA,998,36.24943519
24,A/A*,h4,NA,636,28.06381321
24,A/A*,h5,NA,447,30.01160812
25,UCS,NA,1,7,0.024687767
25,GBFS,h1,1,0,0.02605319
25,GBFS,h2,1,0,0.026701212
25,GBFS,h3,1,0,0.026962042
25,GBFS,h4,1,0,0.030083895
25,GBFS,h5,1,0,0.03034687
25,A/A*,h1,1,7,0.024705172
25,A/A*,h2,1,7,0.025182962
25,A/A*,h3,1,7,0.025335073
25,A/A*,h4,1,7,0.030673981
25,A/A*,h5,1,7,0.029591084
26,UCS,NA,3,110,3.511735201
26,GBFS,h1,3,27,0.104501009
26,GBFS,h2,3,27,0.102986097
26,GBFS,h3,3,27,0.107314825
26,GBFS,h4,3,27,0.120936871
26,GBFS,h5,4,75,0.311455011
26,A/A*,h1,3,71,1.215095997
26,A/A*,h2,3,71,1.230278254
26,A/A*,h3,3,30,0.185358047
26,A/A*,h4,3,36,0.271829128
26,A/A*,h5,3,67,1.581663132
27,UCS,NA,6,609,23.63361478
27,GBFS,h1,7,107,0.338455677
27,GBFS,h2,7,107,0.328192949
27,GBFS,h3,7,107,0.29439497
27,GBFS,h4,6,94,0.285574913
27,GBFS,h5,9,241,1.021406889
27,A/A*,h1,6,322,6.477890015
27,A/A*,h2,6,322,6.399338961
27,A/A*,h3,7,79,0.603594065
27,A/A*,h4,6,88,0.716691971
27,A/A*,h5,7,270,7.879956007
28,UCS,NA,NA,80,4.200797796
28,GBFS,h1,NA,386,2.235771894
28,GBFS,h2,NA,386,2.243419886
28,GBFS,h3,NA,386,2.250899076
28,GBFS,h4,NA,386,2.654510021
28,GBFS,h5,NA,386,2.665478945
28,A/A*,h1,NA,80,4.038674831
28,A/A*,h2,NA,80,3.992125988
28,A/A*,h3,NA,87,3.757845879
28,A/A*,h4,NA,80,4.198619127
28,A/A*,h5,NA,80,4.569910049
29,UCS,NA,7,1501,97.41110587
29,GBFS,h1,7,247,0.62309289
29,GBFS,h2,7,247,0.633813858
29,GBFS,h3,7,247,0.639762878
29,GBFS,h4,7,159,0.524322033
29,GBFS,h5,9,5890,16.21608496
29,A/A*,h1,7,1268,47.74534583
29,A/A*,h2,7,1268,45.46799493
29,A/A*,h3,7,165,1.31731391
29,A/A*,h4,7,341,4.244668961
29,A/A*,h5,8,1257,65.53195024
30,UCS,NA,3,209,5.327800989
30,GBFS,h1,3,85,0.182034969
30,GBFS,h2,3,85,0.184204817
30,GBFS,h3,3,85,0.239837885
30,GBFS,h4,3,85,0.221865892
30,GBFS,h5,3,176,0.626116037
30,A/A*,h1,3,124,1.441498041
30,A/A*,h2,3,76,0.51102519
30,A/A*,h3,3,76,0.396335125
30,A/A*,h4,3,76,0.454630136
30,A/A*,h5,3,85,1.417303801
31,UCS,NA,NA,552,36.23565507
31,GBFS,h1,NA,4613,14.87393689
31,GBFS,h2,NA,4613,15.04056191
31,GBFS,h3,NA,4613,15.67306089
31,GBFS,h4,NA,4613,18.2311039
31,GBFS,h5,NA,4613,17.88240409
31,A/A*,h1,NA,552,34.16474485
31,A/A*,h2,NA,552,32.93133307
31,A/A*,h3,NA,782,29.63852406
31,A/A*,h4,NA,660,34.29649615
31,A/A*,h5,NA,552,37.97108388
32,UCS,NA,2,130,2.003246069
32,GBFS,h1,2,40,0.117269278
32,GBFS,h2,2,40,0.115809202
32,GBFS,h3,2,40,0.129205942
32,GBFS,h4,2,40,0.139379978
32,GBFS,h5,2,25,0.104790926
32,A/A*,h1,2,83,0.960655928
32,A/A*,h2,2,83,0.922814131
32,A/A*,h3,2,46,0.222141266
32,A/A*,h4,2,46,0.256796837
32,A/A*,h5,2,73,1.016371012
33,UCS,NA,3,315,8.887794971
33,GBFS,h1,3,62,0.180966854
33,GBFS,h2,3,62,0.17413497
33,GBFS,h3,3,62,0.181989908
33,GBFS,h4,3,62,0.212462902
33,GBFS,h5,4,80,0.282986879
33,A/A*,h1,3,176,2.75778985
33,A/A*,h2,3,176,2.694101095
33,A/A*,h3,3,58,0.348602772
33,A/A*,h4,3,75,0.544925928
33,A/A*,h5,3,130,2.139427662
34,UCS,NA,4,3191,107.2957482
34,GBFS,h1,4,173,0.306137085
34,GBFS,h2,4,173,0.300536156
34,GBFS,h3,4,173,0.314344168
34,GBFS,h4,4,173,0.362718821
34,GBFS,h5,6,255,0.635584831
34,A/A*,h1,4,363,5.522467136
34,A/A*,h2,4,363,5.430570841
34,A/A*,h3,4,132,0.748389006
34,A/A*,h4,4,159,1.140968084
34,A/A*,h5,5,560,11.25842094
35,UCS,NA,NA,236,15.05534577
35,GBFS,h1,NA,1695,6.548585892
35,GBFS,h2,NA,1695,6.6197927
35,GBFS,h3,NA,1695,7.010791302
35,GBFS,h4,NA,1695,7.958428144
35,GBFS,h5,NA,1695,7.891887903
35,A/A*,h1,NA,236,14.10253215
35,A/A*,h2,NA,236,14.9556098
35,A/A*,h3,NA,317,12.71280694
35,A/A*,h4,NA,262,13.98464322
35,A/A*,h5,NA,236,15.8359611
36,UCS,NA,NA,136,9.021992922
36,GBFS,h1,NA,713,4.800358772
36,GBFS,h2,NA,713,4.755890131
36,GBFS,h3,NA,713,4.990699053
36,GBFS,h4,NA,713,5.763644934
36,GBFS,h5,NA,718,5.748263121
36,A/A*,h1,NA,136,8.495275974
36,A/A*,h2,NA,136,8.377602816
36,A/A*,h3,NA,198,9.137205839
36,A/A*,h4,NA,146,8.629949808
36,A/A*,h5,NA,136,9.580541134
37,UCS,NA,5,2168,92.11327004
37,GBFS,h1,5,199,0.398015022
37,GBFS,h2,5,199,0.39200902
37,GBFS,h3,5,199,0.420887709
37,GBFS,h4,5,135,0.322845936
