3 3 0 GHHH..G.EE.FDBAA.FDB..LF.BKKL.IICCL. L97 K99 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.BKK..II.CC. C99 K99 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.BKK..II..CC C98 K99 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.B..KKII.CC. C99 K99 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.B..KKII..CC C98 K99 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.B.KK..IICC. I99 C99 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.B.KK..II.CC I99 C98 B99
3 3 0 GHHHL.G.EELFDBAALFDB...F.B.KK...IICC I98 C98 B99
3 3 0 .HHHLFGBEELFGBAALFDB....D..KK.IICC.. G5 D99 F7
3 3 0 GHHHLFGBEELF.BAALFDB....D.KK..IICC.. K99 D99 F7
3 3 0 GHHHLFGBEELF.BAALFDB....DKK...IICC.. K98 D99 F7
3 3 0 GHHHLFGBEELF.BAALFDB....D...KKIICC.. K99 D99 F7
3 3 0 GHHHLFGBEELF.BAALFDB....D..KK.II.CC. C99 D99 F7
3 3 0 GHHHLFGBEELF.BAALFDB....D..KK.II..CC C98 D99 F7
3 3 0 GHHH.FGBEE.FDBAALFDB..L...KKL.IICC.. L98 K99 F7
3 3 0 GHHH.FGBEE.FDBAA.FDB..L...KKL.IICCL. L97 K99 F7
3 3 0 GHHHLFGBEELFDBAALFDB......KK..II.CC. C99 K99 F7
3 3 0 GHHHLFGBEELFDBAALFDB......KK..II..CC C98 K99 F7
3 3 0 GHHH.FGBEE.FDBAALFDB..L..KK.L.IICC.. L98 K98 F7
3 3 0 GHHH.FGBEE.FDBAA.FDB..L..KK.L.IICCL. L97 K98 F7
3 3 0 GHHHLFGBEELFDBAALFDB.....KK...II.CC. C99 K98 F7
3 3 0 GHHHLFGBEELFDBAALFDB.....KK...II..CC C98 K98 F7
3 3 0 GHHH.FGBEE.FDBAALFDB..L.KK..L.IICC.. L98 K97 F7
3 3 0 GHHH.FGBEE.FDBAA.FDB..L.KK..L.IICCL. L97 K97 F7
3 3 0 GHHHLFGBEELFDBAALFDB....KK....II.CC. C99 K97 F7
3 3 0 GHHHLFGBEELFDBAALFDB....KK....II..CC C98 K97 F7
3 3 0 GHHHLFGBEELFDBAALFDB........KKII.CC. C99 K99 F7
3 3 0 GHHHLFGBEELFDBAALFDB........KKII..CC C98 K99 F7
3 3 0 GHHHLFGBEELFDBAALFDB.......KK..IICC. I99 C99 F7
3 3 0 GHHHLFGBEELFDBAALFDB.......KK..II.CC I99 C98 F7
