6 4 2 .KKKDJ....DJHAA.GMH..CGM.BBCLLEEEC.. H4 K99 C97 L99
6 4 2 .KKKDJ....DJ.AA.GMH..CGMHBBCLLEEEC.. H3 K99 C97 L99
6 4 2 .KKKDJH...DJH.AAGM...CGM.BBCLLEEEC.. A99 K99 C97 L99
6 4 2 .KKKDJH...DJHAA.GM...CGMBB.CLLEEEC.. B99 K99 C97 L99
6 4 2 KKK.DJ....DJH.AAGMH..CGM.BBCLLEEEC.. A99 H4 C97 L99
6 4 2 KKK.DJ....DJHAA.GMH..CGMBB.CLLEEEC.. B99 H4 C97 L99
6 4 2 KKK.DJ....DJAA..GMH..CGMHBBCLLEEEC.. A99 H3 C97 L99
6 4 2 KKK.DJ....DJ..AAGMH..CGMHBBCLLEEEC.. A99 H3 C97 L99
6 4 2 KKK.DJH...DJH.AAGM...CGMBB.CLLEEEC.. B99 A99 C97 L99
6 4 2 KKK.DJH..CDJHAAC.M...CGMBBLLG.EEE... C99 G6 L99 B99
6 4 2 KKKCDJ...CDJHAAC.MH...GMBBLLG.EEE... H4 G6 L99 B99
6 4 2 KKKCDJH..CDJHAAC.M....GMBBLLG..EEE.. E99 G6 L99 B99
6 4 2 KKKCDJH..CDJHAAC.M....GMBBLLG...EEE. E98 G6 L99 B99
6 4 2 KKKCDJH..CDJHAAC.M....GMBBLLG....EEE E97 G6 L99 B99
6 4 2 KKK.DJH..CDJHAAC.M...C.MBBLLG.EEE.G. C99 G5 L99 B99
6 4 2 KKKCDJ...CDJHAAC.MH....MBBLLG.EEE.G. H4 G5 L99 B99
6 4 2 KKKCDJH..CDJHAAC.M.....MBBLLG..EEEG. E99 G5 L99 B99
6 5 1 KKK.DJH..CDJHAAC.....CGMBBLLGMEEE... C99 G6 L99 B99 M1
6 5 1 KKKCDJ...CDJHAAC..H...GMBBLLGMEEE... H4 G6 L99 B99 M1
6 5 1 KKKCDJH..CDJHAAC......GMBBLLGM.EEE.. E99 G6 L99 B99 M1
6 5 1 KKKCDJH..CDJHAAC......GMBBLLGM..EEE. E98 G6 L99 B99 M1
6 5 1 KKKCDJH..CDJHAAC......GMBBLLGM...EEE E97 G6 L99 B99 M1
6 5 1 KKK.DJH..CDJHAAC.....C.MBBLLGMEEE.G. C99 G5 L99 B99 M1
6 5 1 KKKCDJ...CDJHAAC..H....MBBLLGMEEE.G. H4 G5 L99 B99 M1
6 5 1 KKKCDJH..CDJHAAC.......MBBLLGM.EEEG. E99 G5 L99 B99 M1
6 5 1 KKK.DJH..CDJHAAC.....CG.BBLLGMEEE..M C99 G6 L99 B99 M0
6 5 1 KKKCDJ...CDJHAAC..H...G.BBLLGMEEE..M H4 G6 L99 B99 M0
6 5 1 KKKCDJH..CDJHAAC......G.BBLLGM.EEE.M E99 G6 L99 B99 M0
6 5 1 KKKCDJH..CDJHAAC......G.BBLLGM..EEEM E98 G6 L99 B99 M0
6 5 1 KKK.DJH..CDJHAAC.....C..BBLLGMEEE.GM C99 G5 L99 B99 M0
6 5 1 KKKCDJ...CDJHAAC..H.....BBLLGMEEE.GM H4 G5 L99 B99 M0
6 5 1 KKKCDJH..CDJHAAC........BBLLGM.EEEGM E99 G5 L99 B99 M0
7 4 3 .KKKD.H..CDJHAACGJ...CGM.BBLLMEEE... J4 K99 C99 M1
7 4 3 KKK.D....CDJHAACGJH..CGM.BBLLMEEE... J4 H4 C99 M1
7 4 3 KKK.D....CDJ.AACGJH..CGMHBBLLMEEE... J4 H3 C99 M1
7 4 3 KKK.D.H..CDJHAACGJ...CGMBB.LLMEEE... J4 B99 C99 M1
7 4 3 KKK.D.H..CDJHAACGJ...CGM.BBLLM.EEE.. J4 E99 C99 M1
7 4 3 KKK.D.H..CDJHAACGJ...CGM.BBLLM..EEE. J4 E98 C99 M1
7 4 3 KKK.D.H..CDJHAACGJ...CGM.BBLLM...EEE J4 E97 C99 M1
7 4 3 KKKCD....CDJHAACGJH...GMBB.LLMEEE... J4 B99 H4 M1
7 4 3 KKKCD....CDJHAACGJH...GM.BBLLM.EEE.. J4 E99 H4 M1
7 4 3 KKKCD....CDJHAACGJH...GM.BBLLM..EEE. J4 E98 H4 M1
7 4 3 KKKCD....CDJHAACGJH...GM.BBLLM...EEE J4 E97 H4 M1
