4 0 4 ..MMM...III.AAFGGK..FD.KLLLD.H..BBBH B99 K98 H98 M99
4 0 4 ..MMM...IIIKAAF..K..FD..LLLD.H.BBB.H K99 G99 H98 M99
4 0 4 ..MMM...III.AAF..K..FD.KLLLD.H.BBB.H K98 G99 H98 M99
4 0 4 ..MMMK..IIIKAAFD....FD..LLL..H.BBB.H D99 G99 H98 M99
4 0 4 ..MMMK..IIIKAAF.....FD..LLLD.HBBB..H B99 G99 H98 M99
4 0 4 ..MMMK..IIIKAAF.....FD..LLLD.H..BBBH B99 G99 H98 M99
4 0 4 ..MMMK..IIIKAAFGG...F...LLLD.HBBBD.H D99 B99 H98 M99
4 0 4 ...MMM.III.KAAFGGK..FD.HLLLD.H.BBB.. M98 K99 H99 I99
4 0 4 .MMM...III.KAAFGGK..FD.HLLLD.HBBB... B99 K99 H99 I99
4 0 4 .MMM...III.KAAFGGK..FD.HLLLD.H..BBB. B99 K99 H99 I99
4 0 4 .MMM...III.KAAFGGK..FD.HLLLD.H...BBB B98 K99 H99 I99
4 0 4 .MMM...III.KAAF..K..FD.HLLLD.H.BBB.. K99 G99 H99 I99
4 0 4 .MMM.K.III.KAAF..H..FD.HLLLD...BBB.. H98 G99 H99 I99
4 0 4 .MMM.K.III.KAAFD....FD.HLLL..H.BBB.. D99 G99 H99 I99
4 0 4 .MMM.K.III.KAAF.....FD.HLLLD.HBBB... B99 G99 H99 I99
4 0 4 .MMM.K.III.KAAF.....FD.HLLLD.H..BBB. B99 G99 H99 I99
4 0 4 .MMM.K.III.KAAF.....FD.HLLLD.H...BBB B98 G99 H99 I99
4 0 4 .MMM.K.III.KAAFGG...F..HLLLD.HBBBD.. D99 B99 H99 I99
4 0 4 ...MMM.III.KAAFGGK..FD..LLLD.H.BBB.H M98 K99 H98 I99
4 0 4 .MMM...III.KAAFGGK..FD..LLLD.HBBB..H B99 K99 H98 I99
4 0 4 .MMM...III.KAAFGGK..FD..LLLD.H..BBBH B99 K99 H98 I99
4 0 4 ...MMM.III..AAFGGK..FD.KLLLD.H.BBB.H M98 K98 H98 I99
4 0 4 .MMM...III..AAFGGK..FD.KLLLD.HBBB..H B99 K98 H98 I99
4 0 4 .MMM...III..AAFGGK..FD.KLLLD.H..BBBH B99 K98 H98 I99
4 0 4 .MMM...III.KAAF..K..FD..LLLD.H.BBB.H K99 G99 H98 I99
4 0 4 .MMM...III..AAF..K..FD.KLLLD.H.BBB.H K98 G99 H98 I99
4 0 4 .MMM.K.III.KAAFD....FD..LLL..H.BBB.H D99 G99 H98 I99
4 0 4 .MMM.K.III.KAAF.....FD..LLLD.HBBB..H B99 G99 H98 I99
4 0 4 .MMM.K.III.KAAF.....FD..LLLD.H..BBBH B99 G99 H98 I99
4 0 4 .MMM.K.III.KAAFGG...F...LLLD.HBBBD.H D99 B99 H98 I99
4 0 4 ...MMMIII..KAAFGGK..FD.HLLLD.H.BBB.. M98 K99 H99 I98
4 0 4 .MMM..III..KAAFGGK..FD.HLLLD.HBBB... B99 K99 H99 I98
4 0 4 .MMM..III..KAAFGGK..FD.HLLLD.H..BBB. B99 K99 H99 I98
4 0 4 .MMM..III..KAAFGGK..FD.HLLLD.H...BBB B98 K99 H99 I98
4 0 4 .MMM..III..KAAF..K..FD.HLLLD.H.BBB.. K99 G99 H99 I98
4 0 4 .MMM.KIII..KAAF..H..FD.HLLLD...BBB.. H98 G99 H99 I98
4 0 4 .MMM.KIII..KAAFD....FD.HLLL..H.BBB.. D99 G99 H99 I98
4 0 4 .MMM.KIIID.KAAFD....F..HLLL..H.BBB.. D98 G99 H99 I98
4 0 4 .MMM.KIII..KAAF.....FD.HLLLD.HBBB... B99 G99 H99 I98
4 0 4 .MMM.KIII..KAAF.....FD.HLLLD.H..BBB. B99 G99 H99 I98
4 0 4 .MMM.KIII..KAAF.....FD.HLLLD.H...BBB B98 G99 H99 I98
4 0 4 .MMM.KIII..KAAFGG...F..HLLLD.HBBBD.. D99 B99 H99 I98
4 0 4 ...MMMIII..KAAFGGK..FD..LLLD.H.BBB.H M98 K99 H98 I98
4 0 4 .MMM..III..KAAFGGK..FD..LLLD.HBBB..H B99 K99 H98 I98
4 0 4 .MMM..III..KAAFGGK..FD..LLLD.H..BBBH B99 K99 H98 I98
4 0 4 ...MMMIII...AAFGGK..FD.KLLLD.H.BBB.H M98 K98 H98 I98
4 0 4 .MMM..III...AAFGGK..FD.KLLLD.HBBB..H B99 K98 H98 I98
4 0 4 .MMM..III...AAFGGK..FD.KLLLD.H..BBBH B99 K98 H98 I98
4 0 4 .MMM..III..KAAF..K..FD..LLLD.H.BBB.H K99 G99 H98 I98
4 0 4 .MMM..III...AAF..K..FD.KLLLD.H.BBB.H K98 G99 H98 I98
4 0 4 .MMM.KIII..KAAFD....FD..LLL..H.BBB.H D99 G99 H98 I98
4 0 4 .MMM.KIIID.KAAFD....F...LLL..H.BBB.H D98 G99 H98 I98
4 0 4 .MMM.KIII..KAAF.....FD..LLLD.HBBB..H B99 G99 H98 I98
4 0 4 .MMM.KIII..KAAF.....FD..LLLD.H..BBBH B99 G99 H98 I98
4 0 4 .MMM.KIII..KAAFGG...F...LLLD.HBBBD.H D99 B99 H98 I98
4 0 4 ...MMM..IIIKAAFGGK..FD.HLLLD.HBBB... B99 M98 K99 H99
4 0 4 ...MMM..IIIKAAFGGK..FD.HLLLD.H..BBB. B99 M98 K99 H99
4 0 4 ...MMM..IIIKAAFGGK..FD.HLLLD.H...BBB B98 M98 K99 H99
